"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\ConfirmPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\ForgotPass.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 208, 0, 0, 0, 14, 11, 233
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 0, 1, 14, 201
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\ProductsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 340, 0, 0, 0, 64, 28, 432
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\SachDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 324, 0, 0, 0, 2, 8, 334
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\SignInPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\SignUpPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\UserCartPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 534, 0, 0, 0, 44, 18, 596
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\UserInfoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 292, 0, 0, 0, 3, 18, 313
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\UserOrderDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 333, 0, 0, 0, 2, 7, 342
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\UserOrderPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 376, 0, 0, 0, 5, 27, 408
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminInfoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminMainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 13, 6, 141
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 558, 0, 0, 0, 20, 38, 616
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminOrderDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 286, 0, 0, 0, 12, 3, 301
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminSach.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 342, 0, 0, 0, 109, 20, 471
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminSachCreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 483, 0, 0, 0, 98, 12, 593
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminSachDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 664, 0, 0, 0, 16, 12, 692
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\admin\AdminStatistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 318, 0, 0, 0, 16, 21, 355
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\pages\exceptions\ErrorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\services\accountApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 3, 54
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\services\axios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\services\cartApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\services\mailApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\services\sachApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\AccountType.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\CartType.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\ConfirmationType.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\ExceptionType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\OrderType.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\ResponseType.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 2, 11, 54
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\RevenueType.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\types\SachType.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
